MtrunA17CPg0492181	NAD(P)H-quinone oxidoreductase subunit 5
MtrunA17Chr8g0375701	Putative codeine 3-O-demethylase
MtrunA17Chr8g0375721	hypothetical protein
MtrunA17Chr8g0375731	Putative tetratricopeptide-like helical domain, DYW domain-containing protein
MtrunA17Chr8g0375741	Putative guanylate cyclase activating protein
MtrunA17Chr8g0375751	Putative phosphoric monoester hydrolase
MtrunA17Chr8g0375761	Putative Acid phosphatase
MtrunA17Chr8g0375771	Putative geranylgeranyl diphosphate synthase
MtrunA17Chr8g0375781	Putative Acid phosphatase
MtrunA17Chr8g0375791	Putative Acid phosphatase
MtrunA17Chr8g0375811	Putative Acid phosphatase
MtrunA17Chr8g0375821	Putative Acid phosphatase
MtrunA17Chr8g0375831	Putative ribosomal protein S17e
MtrunA17Chr8g0375841	Putative ribosomal protein S17e
MtrunA17Chr8g0375851	hypothetical protein
MtrunA17Chr8g0375861	Putative DNA helicase, AddA type, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0375871	Putative ATP-dependent DNA helicase Rep, P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0375881	Putative nucleic acid-binding protein
MtrunA17Chr8g0375891	Putative Acid phosphatase
MtrunA17Chr8g0375901	Putative Acid phosphatase
MtrunA17Chr8g0375911	hypothetical protein
MtrunA17Chr8g0375921	Putative Acid phosphatase
MtrunA17Chr8g0375931	Putative ribosomal protein S17e
MtrunA17Chr8g0375941	Putative ribosomal protein S17e
MtrunA17Chr8g0375961	Putative ribosomal protein S17e
MtrunA17Chr8g0375971	Putative procollagen-proline 3-dioxygenase
MtrunA17Chr8g0375981	Putative xyloglucan:xyloglucosyl transferase
MtrunA17Chr8g0375991	Putative ascorbate ferrireductase (transmembrane)
MtrunA17Chr8g0376001	Putative small heat shock protein HSP20
MtrunA17Chr8g0376011	Putative chromatin regulator PHD family
MtrunA17Chr8g0376021	Putative transcription factor C2H2 family
MtrunA17Chr8g0376041	hypothetical protein
MtrunA17Chr8g0376051	hypothetical protein
MtrunA17Chr8g0376061	Putative protein kinase RLK-Pelle-WAK-LRK10L-1 family
MtrunA17Chr8g0376071	hypothetical protein
MtrunA17Chr8g0376081	Putative ribosomal protein S24/S35
MtrunA17Chr8g0376091	Putative mandelate racemase/muconate lactonizing enzyme, enolase domain-containing protein
MtrunA17Chr8g0376101	hypothetical protein
MtrunA17Chr8g0376111	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr8g0376131	Putative protein kinase RLK-Pelle-DLSV family
MtrunA17Chr8g0376141	Putative transcription factor GRF family
MtrunA17Chr8g0376151	Putative Zein-binding domain-containing protein
MtrunA17Chr8g0376161	Putative ANTH domain-containing protein
MtrunA17Chr8g0376171	Putative NAD(P)H-quinone oxidoreductase subunit L
MtrunA17Chr8g0376181	Putative transmembrane protein
MtrunA17Chr8g0376191	Putative poly(ADP-ribose) polymerase, catalytic domain-containing protein
MtrunA17Chr8g0376201	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr8g0376211	Putative small subunit of serine palmitoyltransferase
MtrunA17Chr8g0376221	Putative thioredoxin-like protein
MtrunA17Chr8g0376231	Putative protein-serine/threonine phosphatase
MtrunA17Chr8g0376241	hypothetical protein
MtrunA17Chr8g0376251	Putative small subunit of serine palmitoyltransferase
MtrunA17Chr8g0376261	Putative thioredoxin-like protein
MtrunA17Chr8g0376271	Putative peptidylprolyl isomerase
MtrunA17Chr8g0376291	Putative leucine-rich repeat-containing, plant-type, leucine-rich repeat domain, L
MtrunA17Chr8g0376301	Putative protein kinase RLK-Pelle-LRR-III family
MtrunA17Chr8g0376311	Putative transcription factor MYB-HB-like family
MtrunA17Chr8g0376321	Putative H(+)-transporting two-sector ATPase
MtrunA17Chr8g0376331	Putative starch synthase
MtrunA17Chr8g0376341	Putative starch synthase
MtrunA17Chr8g0376351	Putative transcription factor Hap3/NF-YB family
MtrunA17Chr8g0376361	Putative RNA-directed DNA polymerase
MtrunA17Chr8g0376381	Putative transcription factor GRAS family
MtrunA17Chr8g0376391	hypothetical protein
MtrunA17Chr8g0376401	Putative 9-cis-epoxycarotenoid dioxygenase
MtrunA17Chr8g0376411	Putative pyruvate dehydrogenase (acetyl-transferring)
MtrunA17Chr8g0376421	Putative transcription factor TIFY family
MtrunA17Chr8g0376431	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376441	hypothetical protein
MtrunA17Chr8g0376451	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376461	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376471	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376481	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376491	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376501	hypothetical protein
MtrunA17Chr8g0376511	Putative pentatricopeptide
MtrunA17Chr8g0376521	Putative (S)-2-hydroxy-acid oxidase
MtrunA17Chr8g0376531	hypothetical protein
MtrunA17Chr8g0376541	Putative deoxyhypusine synthase
MtrunA17Chr8g0376551	Putative K domain-containing protein
MtrunA17Chr8g0376561	Putative ornithine aminotransferase
MtrunA17Chr8g0376571	Putative transcription factor TCP family
MtrunA17Chr8g0376581	Putative strictosidine synthase transcription factor WD40-like family
MtrunA17Chr8g0376591	Putative phenylalanine--tRNA ligase
MtrunA17Chr8g0376601	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr8g0376611	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr8g0376621	hypothetical protein
MtrunA17Chr8g0376631	Putative major facilitator, sugar transporter, major facilitator superfamily
MtrunA17Chr8g0376641	Putative oxidoreductase
MtrunA17Chr8g0376651	Putative dolichyl-P-Glc:Glc(1)Man(9)GlcNAc(2)-PP-dolichol alpha-1,3- glucosyltransferase
MtrunA17Chr8g0376661	hypothetical protein
MtrunA17Chr8g0376671	Putative RNA helicase
MtrunA17Chr8g0376681	Putative Zinc finger, C3HC
MtrunA17Chr8g0376691	hypothetical protein
MtrunA17Chr8g0376701	Putative DnaJ domain-containing protein
MtrunA17Chr8g0376711	hypothetical protein
MtrunA17Chr8g0376721	hypothetical protein
MtrunA17Chr8g0376741	Putative remorin
MtrunA17Chr8g0376751	Putative ribosomal protein L38e
MtrunA17Chr8g0376771	Putative transcription factor ARF family
MtrunA17Chr8g0376781	hypothetical protein
MtrunA17Chr8g0376791	hypothetical protein
MtrunA17Chr8g0376801	hypothetical protein
MtrunA17Chr8g0376821	Putative transcription factor MADS-type1 family
MtrunA17Chr8g0376831	hypothetical protein
MtrunA17Chr8g0376841	Putative cucumisin
MtrunA17Chr8g0376851	Putative cucumisin
MtrunA17Chr8g0376861	Putative transcription factor C2H2 family
MtrunA17Chr8g0376871	hypothetical protein
MtrunA17Chr8g0376881	Putative response regulator and transcription factor RR-B-type family
MtrunA17Chr8g0376891	Putative vinorine synthase
MtrunA17Chr8g0376901	Putative vinorine synthase
MtrunA17Chr8g0376911	Putative vinorine synthase
MtrunA17Chr8g0376921	Putative tetratricopeptide-like helical domain, signal recognition particle, SRP72 subunit
MtrunA17Chr8g0376931	Putative F-box domain, leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0376941	hypothetical protein
MtrunA17Chr8g0376951	Putative ING family protein
MtrunA17Chr8g0376961	Putative xenobiotic-transporting ATPase
MtrunA17Chr8g0376971	Putative ankyrin repeat-containing domain-containing protein
MtrunA17Chr8g0376981	Putative small ribonucleoprotein associated, SmB/SmN
MtrunA17Chr8g0376991	Putative amino acid transporter, transmembrane domain-containing protein
MtrunA17Chr8g0377011	Putative P-loop containing nucleoside triphosphate hydrolase
MtrunA17Chr8g0377021	hypothetical protein
MtrunA17Chr8g0377031	Putative polynucleotide 5'-hydroxyl-kinase
MtrunA17Chr8g0377041	Putative DNA helicase
MtrunA17Chr8g0377061	Putative remorin
MtrunA17Chr8g0377071	Putative protein-serine/threonine kinase CMGC-CDK-PITSLRE family
MtrunA17Chr8g0377081	hypothetical protein
MtrunA17Chr8g0377091	hypothetical protein
MtrunA17Chr8g0377101	Putative linoleate 13S-lipoxygenase
MtrunA17Chr8g0377111	Putative RNA helicase
MtrunA17Chr8g0377121	Putative pentatricopeptide
MtrunA17Chr8g0377131	hypothetical protein
MtrunA17Chr8g0377141	hypothetical protein
MtrunA17Chr8g0377151	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr8g0377161	hypothetical protein
MtrunA17Chr8g0377171	Putative glycosidase
MtrunA17Chr8g0377181	Putative glycosidase
MtrunA17Chr8g0377191	Putative 1-phosphatidylinositol-4-phosphate 5-kinase
MtrunA17Chr8g0377201	Putative phosphatidylinositol-4-phosphate 5-kinase
MtrunA17Chr8g0377211	Putative 1-phosphatidylinositol-4-phosphate 5-kinase
MtrunA17Chr8g0377221	Putative 1-phosphatidylinositol-4-phosphate 5-kinase
MtrunA17Chr8g0377231	Putative glycosidase
MtrunA17Chr8g0377241	Putative F-box domain, galactose oxidase, beta-propeller
MtrunA17Chr8g0377251	Putative microsomal signal peptidase 12kDa subunit
MtrunA17Chr8g0377281	hypothetical protein
MtrunA17Chr8g0377291	hypothetical protein
MtrunA17Chr8g0377301	Putative ribosomal protein L22/L17
MtrunA17Chr8g0377311	Putative peptidase M28
MtrunA17Chr8g0377321	hypothetical protein
MtrunA17Chr8g0377331	Putative xylogalacturonan beta-1,3-xylosyltransferase
MtrunA17Chr8g0377341	Putative geraniol 8-hydroxylase
MtrunA17Chr8g0377351	Putative rubber elongation factor
MtrunA17Chr8g0377361	hypothetical protein
MtrunA17Chr8g0377371	Putative F-box domain, Zinc finger, MYND-type, tetratricopeptide-like helical
MtrunA17Chr8g0377381	Putative glucuronoxylan 4-O-methyltransferase
MtrunA17Chr8g0377391	hypothetical protein
MtrunA17Chr8g0377401	Putative transcription factor SBP family
MtrunA17Chr8g0377411	hypothetical protein
MtrunA17Chr8g0377421	Putative transcription factor SBP family
MtrunA17Chr8g0377431	Putative transcription factor SBP family
MtrunA17Chr8g0377441	Putative transcription factor WD40-like family
MtrunA17Chr8g0377451	hypothetical protein
MtrunA17Chr8g0377461	Putative stress-associated endoplasmic reticulum protein
MtrunA17Chr8g0377471	hypothetical protein
MtrunA17Chr8g0377481	Putative histidine kinase response regulator and transcription factor RR-A-type family
MtrunA17Chr8g0377491	Putative NTF2-like domain-containing protein
MtrunA17Chr8g0377501	Putative transcription factor CG1-CAMTA family
MtrunA17Chr8g0377511	hypothetical protein
MtrunA17Chr8g0377521	hypothetical protein
MtrunA17Chr8g0377531	hypothetical protein
MtrunA17Chr8g0377541	hypothetical protein
MtrunA17Chr8g0377551	MADS-box transcription factor 1
MtrunA17Chr8g0377561	Putative transcription factor MADS-type1 family
MtrunA17Chr8g0377571	hypothetical protein
MtrunA17Chr8g0377581	hypothetical protein
MtrunA17Chr8g0377591	Putative DNA primase large subunit, eukaryotic/archaeal
MtrunA17Chr8g0377601	Putative zeta-carotene isomerase
MtrunA17Chr8g0377611	Putative zeta-carotene isomerase
MtrunA17Chr8g0377621	Putative Rho protein GDP-dissociation inhibitor
MtrunA17Chr8g0377631	Putative membrane attack complex component/perforin (MACPF) domain-containing protein
MtrunA17Chr8g0377641	Putative asparaginyl-tRNA synthase (glutamine-hydrolyzing)
MtrunA17Chr8g0377651	Putative asparaginyl-tRNA synthase (glutamine-hydrolyzing)
MtrunA17Chr8g0377661	Putative amidase signature domain-containing protein
MtrunA17Chr8g0377671	Putative 1-phosphatidylinositol-4-phosphate 5-kinase
MtrunA17Chr8g0377681	Putative asparaginyl-tRNA synthase (glutamine-hydrolyzing)
MtrunA17Chr8g0377691	Putative asparaginyl-tRNA synthase (glutamine-hydrolyzing)
MtrunA17Chr8g0377701	Putative asparaginyl-tRNA synthase (glutamine-hydrolyzing)
MtrunA17Chr8g0377711	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0377721	Putative leucine-rich repeat domain, L domain-containing protein
MtrunA17Chr8g0377731	Putative plus-end-directed kinesin ATPase
MtrunA17Chr8g0377741	Putative Cystatin domain-containing protein
MtrunA17Chr8g0377751	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0377761	hypothetical protein
MtrunA17Chr8g0377771	Putative peptidylprolyl isomerase
MtrunA17Chr8g0377781	Putative transcription regulator mTERF family
MtrunA17Chr8g0377791	hypothetical protein
MtrunA17Chr8g0377801	Putative transcription regulator mTERF family
MtrunA17Chr8g0377811	Putative transcription factor C2H2 family
MtrunA17Chr8g0377821	Ubiquitin-40S ribosomal protein S27a
MtrunA17Chr8g0377831	hypothetical protein
MtrunA17Chr8g0377841	Xyloglucan endotransglucosylase/hydrolase 2
MtrunA17Chr8g0377861	hypothetical protein
MtrunA17Chr8g0377871	hypothetical protein
MtrunA17Chr8g0377881	Putative transcription factor C2H2 family
MtrunA17Chr8g0377891	hypothetical protein
MtrunA17Chr8g0377901	Putative anthocyanidin 3-O-glucoside 5-O-glucosyltransferase
MtrunA17Chr8g0377911	Putative crocetin glucosyltransferase
MtrunA17Chr8g0377921	Putative crocetin glucosyltransferase
MtrunA17Chr8g0377941	Putative crocetin glucosyltransferase
MtrunA17Chr8g0377951	Putative protein kinase RLK-Pelle-LRR-IX family
MtrunA17Chr8g0377961	Putative tripeptidyl-peptidase II
MtrunA17Chr8g0377971	Putative homoserine dehydrogenase, Aspartate kinase
MtrunA17Chr8g0377991	Putative long-chain-fatty-acid--[acyl-carrier-protein] ligase
MtrunA17Chr8g0378001	Putative selenium-binding protein
MtrunA17Chr8g0378021	Putative rapid ALkalinization Factor
MtrunA17Chr8g0378031	Putative micro-fibrillar-associated protein
MtrunA17Chr8g0378041	Putative tetratricopeptide-like helical domain-containing protein
MtrunA17Chr8g0378051	Putative G10 protein
MtrunA17Chr8g0378061	Putative transcription factor HSF-type-DNA-binding family
MtrunA17Chr8g0378071	Putative adenosylhomocysteinase
MtrunA17Chr8g0378081	hypothetical protein
MtrunA17Chr8g0378091	Putative glycine hydroxymethyltransferase
MtrunA17Chr8g0378101	hypothetical protein
MtrunA17Chr8g0378111	Putative Late embryogenesis abundant protein, LEA-18
MtrunA17Chr8g0378121	hypothetical protein
MtrunA17Chr8g0378131	hypothetical protein
MtrunA17Chr8g0378141	50S ribosomal protein L16
MtrunA17Chr8g0378151	Putative transferase
MtrunA17Chr8g0378161	Putative DnaJ domain-containing protein
MtrunA17Chr8g0378171	Putative transcription factor C3H family
MtrunA17Chr8g0378181	Putative magnesium transporter NIPA
MtrunA17Chr8g0378201	hypothetical protein
MtrunA17Chr8g0378211	Putative naringenin-chalcone synthase
MtrunA17Chr8g0378221	Putative beta-galactosidase
MtrunA17Chr8g0378231	Putative endothelin-converting enzyme 1
MtrunA17Chr8g0378241	hypothetical protein
MtrunA17Chr8g0378251	Putative protein geranylgeranyltransferase type II
MtrunA17Chr8g0378261	Putative cation/H+ exchanger
MtrunA17Chr8g0378271	Putative histidine kinase-like ATPase domain-containing protein
MtrunA17Chr8g0378281	hypothetical protein
MtrunA17Chr8g0378291	Putative Rab-GTPase-TBC domain-containing protein
MtrunA17Chr8g0378301	hypothetical protein
MtrunA17Chr8g0378321	Putative phosphatidylinositol 3-kinase
MtrunA17Chr8g0378341	Putative transcription factor C2H2 family
MtrunA17Chr8g0378351	hypothetical protein
MtrunA17Chr8g0378361	Putative X8 domain-containing protein
MtrunA17Chr8g0378371	Putative X8 domain-containing protein
MtrunA17Chr8g0378381	Putative X8 domain-containing protein
MtrunA17Chr8g0378391	Putative F-box domain-containing protein
MtrunA17Chr8g0378401	Putative X8 domain-containing protein
MtrunA17Chr8g0378411	hypothetical protein
MtrunA17Chr8g0378421	hypothetical protein
MtrunA17Chr8g0378431	Putative S-adenosyl-L-methionine-dependent methyltransferase
MtrunA17Chr8g0378441	Putative transcription factor C2H2 family
MtrunA17Chr8g0378451	Putative chromatin regulator PHD family
MtrunA17Chr8g0378461	Putative bifunctional inhibitor/plant lipid transfer protein/seed storage helical
MtrunA17Chr8g0378471	Putative mediator complex, subunit Med10
MtrunA17Chr8g0378481	Putative transposase, MuDR, plant
MtrunA17Chr8g0378491	hypothetical protein
MtrunA17Chr8g0378501	hypothetical protein
MtrunA17Chr8g0378511	Putative F-box domain, galactose oxidase, beta-propeller
MtrunA17Chr8g0378521	Putative protein-serine/threonine phosphatase
MtrunA17Chr8g0378531	Putative PLAT/LH2 domain-containing protein
MtrunA17Chr8g0378551	Putative amino acid/polyamine transporter I
MtrunA17Chr8g0378561	Putative nucleotide-diphospho-sugar transferase
MtrunA17Chr8g0378571	Putative F-box domain, galactose oxidase, beta-propeller
MtrunA17Chr8g0378581	Putative acetate--CoA ligase
MtrunA17Chr8g0378591	hypothetical protein
MtrunA17Chr8g0378601	Putative aminoacyltransferase, E1 ubiquitin-activating enzyme
MtrunA17Chr8g0378611	hypothetical protein
MtrunA17Chr8g0378621	Putative glucan endo-1,3-beta-D-glucosidase
MtrunA17Chr8g0378631	Putative ribosomal protein L32e
MtrunA17Chr8g0378641	hypothetical protein
MtrunA17Chr8g0378651	Putative GDP-fucose protein O-fucosyltransferase
MtrunA17Chr8g0378661	hypothetical protein
MtrunA17Chr8g0378671	Putative pheophorbide a oxygenase
MtrunA17Chr8g0378681	Putative ribosomal RNA-processing protein
MtrunA17Chr8g0378691	Putative pheophorbide a oxygenase
MtrunA17Chr8g0378701	Putative pheophorbide a oxygenase
MtrunA17Chr8g0378711	hypothetical protein
MtrunA17Chr8g0378721	Putative pheophorbide a oxygenase
MtrunA17Chr8g0378731	hypothetical protein
MtrunA17Chr8g0378741	Putative Zinc finger, RING/FYVE/PHD-type
MtrunA17Chr8g0378751	hypothetical protein
MtrunA17Chr8g0378761	hypothetical protein
MtrunA17Chr8g0378771	Putative aminoacyl-tRNA hydrolase
MtrunA17Chr8g0378781	hypothetical protein
MtrunA17Chr8g0378791	Putative armadillo-like helical protein
MtrunA17Chr8g0378811	Putative transcription factor AP2-EREBP family
MtrunA17Chr8g0378821	Putative Cell division protein FtsZ
MtrunA17Chr8g0378831	Putative mitogen-activated protein kinase CMGC-MAPK family
MtrunA17Chr8g0378851	Putative mitogen-activated protein kinase CMGC-MAPK family
MtrunA17Chr8g0378861	Putative mitogen-activated protein kinase CMGC-MAPK family
MtrunA17Chr8g0378871	Putative mitogen-activated protein kinase
MtrunA17Chr8g0378901	Putative transcription factor bZIP family
MtrunA17Chr8g0378921	Putative tetratricopeptide-like helical domain, DYW domain-containing protein
MtrunA17Chr8g0378931	Putative acetate--CoA ligase
MtrunA17Chr8g0378941	Putative thioredoxin-like protein
MtrunA17Chr8g0378951	Putative mitochondrial carrier domain-containing protein
MtrunA17Chr8g0378961	hypothetical protein
MtrunA17Chr8g0378971	Putative mitochondrial carrier domain-containing protein
